Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Normal,Chrome 123.0.6312.86,,,05-04-2024 10:23:18,05-04-2024 10:23:53,34.969s,PASSED
,,,,,,,
Test Cases/Register - With Existing Email,Chrome 123.0.6312.86,,,05-04-2024 10:23:18,05-04-2024 10:23:28,9.843s,PASSED
"openBrowser("""")",Chrome 123.0.6312.86,,,05-04-2024 10:23:19,05-04-2024 10:23:21,2.272s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 123.0.6312.86,,,05-04-2024 10:23:21,05-04-2024 10:23:25,4.397s,PASSED
"click(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise/a_Signup  Login""))",Chrome 123.0.6312.86,,,05-04-2024 10:23:25,05-04-2024 10:23:27,1.450s,PASSED
"setText(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise - Signup  Login/input_New User Signup_name""), ""Filbert Bojinov"")",Chrome 123.0.6312.86,,,05-04-2024 10:23:27,05-04-2024 10:23:27,0.335s,PASSED
"setText(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise - Signup  Login/input_New User Signup_email""), ""filbert.bojinov@katalon.com"")",Chrome 123.0.6312.86,,,05-04-2024 10:23:27,05-04-2024 10:23:27,0.240s,PASSED
"click(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise - Signup  Login/button_Signup""))",Chrome 123.0.6312.86,,,05-04-2024 10:23:27,05-04-2024 10:23:28,0.736s,PASSED
"verifyElementVisible(findTestObject(""Register - With Existing Email/Page_Automation Exercise - Signup  Login/p_Email Address already exist""))",Chrome 123.0.6312.86,,,05-04-2024 10:23:28,05-04-2024 10:23:28,0.161s,PASSED
,,,,,,,
Test Cases/Login - Incorrect,Chrome 123.0.6312.86,,,05-04-2024 10:23:28,05-04-2024 10:23:36,7.613s,PASSED
"openBrowser("""")",Chrome 123.0.6312.86,,,05-04-2024 10:23:28,05-04-2024 10:23:29,0.828s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 123.0.6312.86,,,05-04-2024 10:23:29,05-04-2024 10:23:33,3.938s,PASSED
"click(findTestObject(""Object Repository/Login - Incorrect/Page_Automation Exercise/a_Signup  Login""))",Chrome 123.0.6312.86,,,05-04-2024 10:23:33,05-04-2024 10:23:34,1.373s,PASSED
